country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,tests,testsPerOneMillion,population,continent,oneCasePerPeople,oneDeathPerPeople,oneTestPerPeople,data_collected_at
Iceland,209906,0,229,0,0,209677,0,607731,663,1996384,5780036,345393,Europe,2,1508,0,2025-03-23 19:32:41
India,45035393,0,533570,0,0,44501823,0,32016,379,935879495,665334,1406631776,Asia,31,2636,2,2025-03-23 19:32:41
Indonesia,6829221,0,162063,0,6647104,20054,0,24466,581,114158919,408975,279134505,Asia,41,1722,2,2025-03-23 19:32:41
Iran,7627186,0,146811,0,0,7480375,0,88665,1707,57320267,666338,86022837,Asia,11,586,2,2025-03-23 19:32:41
Iraq,2465545,0,25375,0,2439497,673,0,58474,602,19544451,463523,42164965,Asia,17,1662,2,2025-03-23 19:32:41
Ireland,1734582,0,9491,0,1724921,170,19,345521,1891,13083449,2606161,5020199,Europe,3,529,0,2025-03-23 19:32:41
Isle of Man,38008,0,116,0,0,37892,0,443335,1353,150753,1758422,85732,Europe,2,739,1,2025-03-23 19:32:41
Israel,4841772,0,12707,0,4798473,30592,0,519169,1363,41373364,4436346,9326000,Asia,2,734,0,2025-03-23 19:32:41
Italy,26723249,0,196487,0,26361218,165544,22,443445,3261,281126449,4665010,60262770,Europe,2,307,0,2025-03-23 19:32:41
Jamaica,156869,0,3756,0,0,153113,0,52551,1258,1183986,396633,2985094,North America,19,795,3,2025-03-23 19:32:41
Japan,33803572,0,74694,0,0,33728878,0,269169,595,100414883,799578,125584838,Asia,4,1681,1,2025-03-23 19:32:41
Jordan,1746997,0,14122,0,1731007,1868,59,169597,1371,17201885,1669945,10300869,Asia,6,729,1,2025-03-23 19:32:41
Kazakhstan,1411831,0,13848,0,1383020,14963,24,73514,721,11575012,602707,19205043,Asia,14,1387,2,2025-03-23 19:32:41
Kenya,344130,0,5689,0,337309,1132,0,6122,101,3967062,70569,56215221,Africa,163,9881,14,2025-03-23 19:32:41
Kiribati,5085,0,24,0,2703,2358,3,41201,194,0,0,123419,Australia-Oceania,24,5142,0,2025-03-23 19:32:41
Kuwait,667158,0,2570,0,0,664588,0,152308,587,8455743,1930391,4380326,Asia,7,1704,1,2025-03-23 19:32:41
Kyrgyzstan,206897,0,2991,0,196406,7500,131,30750,445,1907195,283460,6728271,Asia,33,2250,4,2025-03-23 19:32:41
Lao People's Democratic Republic,218970,0,758,0,0,218212,0,29270,101,1233207,164845,7481023,Asia,34,9869,6,2025-03-23 19:32:41
Latvia,982505,0,6715,0,971406,4384,0,531418,3632,7885792,4265272,1848837,Europe,2,275,0,2025-03-23 19:32:41
Lebanon,1243838,0,10952,0,1087587,145299,74,186068,1638,4795578,717380,6684849,Asia,5,610,1,2025-03-23 19:32:41
Lesotho,36138,0,723,0,25980,9435,0,16610,332,431221,198199,2175699,Africa,60,3009,5,2025-03-23 19:32:41
Liberia,8090,0,295,0,7783,12,2,1525,56,139824,26356,5305117,Africa,656,17983,38,2025-03-23 19:32:41
Libyan Arab Jamahiriya,507274,0,6437,0,500835,2,0,72048,914,2483848,352782,7040745,Africa,14,1094,3,2025-03-23 19:32:41
Liechtenstein,21574,0,94,0,0,21480,0,562013,2449,112457,2929559,38387,Europe,2,408,0,2025-03-23 19:32:41
Lithuania,1397806,0,9897,0,1387478,431,0,525154,3718,10540357,3959997,2661708,Europe,2,269,0,2025-03-23 19:32:41
Luxembourg,391232,0,1232,0,0,390000,0,609044,1918,4587145,7140959,642371,Europe,2,521,0,2025-03-23 19:32:41
MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,,0,0,0,2025-03-23 19:32:41
Macao,27673,0,123,0,3487,24063,0,41458,184,7850,11760,667490,Asia,24,5427,85,2025-03-23 19:32:41
Macedonia,350567,0,9976,0,337068,3523,0,168436,4793,2226216,1069626,2081304,Europe,6,209,1,2025-03-23 19:32:41
Madagascar,68486,0,1426,0,66862,198,0,2347,49,531329,18210,29178077,Africa,426,20461,55,2025-03-23 19:32:41
Malawi,89535,0,2686,0,0,86849,0,4437,133,624784,30959,20180839,Africa,225,7513,32,2025-03-23 19:32:41
Malaysia,5278406,0,37348,0,5233268,7790,11,159079,1126,68580916,2066869,33181072,Asia,6,888,0,2025-03-23 19:32:41
Maldives,186694,0,316,0,163687,22691,25,345100,584,2213831,4092223,540985,Asia,3,1712,0,2025-03-23 19:32:41
Mali,33164,0,743,0,32332,89,0,1544,35,804909,37483,21473764,Africa,648,28901,27,2025-03-23 19:32:41
Malta,121420,0,885,0,120149,386,0,273448,1993,2170600,4888375,444033,Europe,4,502,0,2025-03-23 19:32:41
Marshall Islands,16138,0,17,0,16121,0,0,268711,283,0,0,60057,Australia-Oceania,4,3533,0,2025-03-23 19:32:41
Martinique,230354,0,1102,0,0,229252,0,615777,2946,828928,2215870,374087,North America,2,339,0,2025-03-23 19:32:41
Mauritania,63848,0,997,0,62471,380,0,13025,203,1009957,206030,4901981,Africa,77,4917,5,2025-03-23 19:32:41
Mauritius,43025,0,1051,0,41278,696,0,33752,824,358675,281374,1274727,Africa,30,1213,4,2025-03-23 19:32:41
Mayotte,42027,0,188,0,0,41839,0,146815,657,176919,618038,286259,Africa,7,1523,2,2025-03-23 19:32:41
Mexico,7702809,0,334958,0,6899865,467986,0,58549,2546,20013810,152124,131562772,North America,17,393,7,2025-03-23 19:32:41
Micronesia,26547,0,65,0,0,26482,0,225953,553,82430,701598,117489,Australia-Oceania,4,1808,1,2025-03-23 19:32:41
Moldova,635145,0,12218,0,0,622927,0,158265,3044,3216305,801437,4013171,Europe,6,328,1,2025-03-23 19:32:41
